rawNames,finalNames
yVar,yVar
yType,yType
description,description
capitalVar,capitalVar
labourVar,labourVar
landVar,landVar
productVar,productVar
gqDistType0-40:postGQ,GQ
nsewDistType0-40:postNSEW,NSEW
gqDistType0-40:capitalVar:postGQ,capitalGQ
nsewDistType0-40:capitalVar:postNSEW,capitalNSEW
gqDistType0-40:labourVar:postGQ,labourGQ
nsewDistType0-40:labourVar:postNSEW,labourNSEW
gqDistType0-40:landVar:postGQ,landGQ
nsewDistType0-40:landVar:postNSEW,landNSEW
gqDistType0-40:productVar:postGQ,productGQ
nsewDistType0-40:productVar:postNSEW,productNSEW