yVar,yType,description,nobs,adjRSq,GQ,GQ:bank_t,GQ:cr_s,GQ:di_e_2,GQ:e_own1,GQ:e_pr_fin3,GQ:edu_lit_7_t,GQ:est_sh_1,NSEW,NSEW:bank_t,NSEW:cr_s,NSEW:di_e_2,NSEW:e_own1,NSEW:e_pr_fin3,NSEW:edu_lit_7_t,NSEW:est_sh_1
ap,environment,Aerosol particle radius (percent of small particles) in logs,854,0.6,-17.8644***,-0.1558**,NA,1.086**,NA,NA,0.2869***,NA,14.9903***,NA,-0.1641***,NA,NA,NA,NA,-0.1569***
at,environment,Aerosol optical thickness (thickness scale  0â€“1 ),854,0.6,0.0724*,NA,3e-04,-0.006,NA,0.0034,-8e-04,NA,0.3119,-8e-04,7e-04**,NA,-0.0036,0.0072,NA,NA
nd,environment,Nitrogen dioxide levels (billion molecules/mm2) in logs,854,0.6,-9.8351*,NA,NA,1.9606,NA,NA,NA,NA,-83.5001,NA,NA,NA,1.2378,1.363,-0.5962**,NA
povrate_rur,equality,Reduction in poverty rate (rural),1661,0.4,-0.6395,-0.0041**,NA,NA,0.0072,0.0116,NA,0.0026**,0.0383,NA,NA,NA,NA,-0.0126,NA,NA
povrate_tot,equality,Reduction in poverty rate (total),1661,0.3,-0.5996,-0.0032*,-7e-04,NA,0.007,0.0096,NA,0.0024**,0.0531,NA,NA,NA,NA,-0.0195,NA,NA
povrate_urb,equality,Reduction in poverty rate (urban),1626,-0,0.0207,NA,-0.001,NA,NA,NA,NA,0.0018,-0.1921,NA,NA,NA,NA,-0.0225,0.0037,0.002
emp_7_f,inclusion,"Employment rate, 7+ years, main + marginal, Female(percent of age group)",854,-0.3,-50.2879**,-0.1188*,NA,NA,0.5771***,NA,NA,NA,-12.7365*,NA,0.0629*,NA,NA,0.4365,0.0987,NA
emp_7_t,inclusion,"Employment rate, 7+ years, main + marginal, Total(percent of age group)",854,-0.3,-21.0847*,-0.0531,NA,NA,0.2729**,NA,-0.0461,NA,-3.7906**,NA,0.0316,NA,NA,0.4027,NA,NA
emp_rwg_f,inclusion,"Regular wage earners, Female (percent of total empl)",854,0.5,79.4262***,NA,NA,NA,-0.8295***,NA,NA,NA,-67.77*,0.1611*,-0.0582,1.0865,0.6685*,NA,NA,-0.0806
emp_rwg_t,inclusion,"Regular wage earners, Total (percent of total emplt)",854,0,59.9487***,0.0724,NA,NA,-0.5729***,NA,-0.116*,NA,-64.177**,0.076,NA,1.0264*,0.6088*,NA,NA,NA
emp_slf_f,inclusion,"Self-employed, Female(percent of total employment)",854,-0.6,-5.4711*,NA,NA,NA,NA,NA,0.0704,0.0697**,2.5503,0.1084**,NA,NA,NA,NA,-0.11*,0.0627**
emp_slf_t,inclusion,"Self-employed,Total(percent of total employment)",854,-0.6,-2.6466,NA,-0.0083,-0.1982,NA,NA,0.0603***,0.0211,2.9554,NA,NA,-0.2426,NA,0.2364,-0.0358,0.0204
pct_emp_both_tot,inclusion,N employed/Total total population,1626,-0.1,-0.0253,NA,NA,-0.0104*,NA,NA,9e-04,5e-04,0.1787**,NA,NA,NA,NA,NA,-0.0029**,NA
pct_emp_f_tot,inclusion,N females employed/female total population,1626,-0.1,0.1068,6e-04,NA,NA,-0.0016,NA,NA,0.001,0.2045,NA,NA,NA,NA,0.0179,-0.0041**,NA
pct_emp_m_tot,inclusion,N males employed/male total population,1626,-0.2,-0.0205,NA,NA,-0.0174***,NA,NA,0.0016**,NA,0.1438**,5e-04,NA,NA,NA,-0.0093*,-0.0022**,NA
pct_regWage_both_tot,inclusion,N total regular wage employed/Total employed,1626,-0,0.1182**,NA,-8e-04***,NA,NA,NA,-0.0011,-5e-04,-0.0899,-0.0018,NA,-0.0124,NA,NA,0.0037***,-9e-04
pct_regWage_f_tot,inclusion,N total females regular wage employed/N female employed,1626,-0.2,0.5561,-0.0019*,NA,-0.0083,-0.005,NA,NA,NA,-0.2194*,NA,NA,NA,NA,-0.0197**,0.0042**,-0.001
totFarmEmp_f,inclusion,emp_fmr_f + emp_cwg_f,854,0.3,-109.0463***,-0.098,0.0513,NA,1.2275***,0.6373*,-0.1203,-0.1073**,1.917,-0.227**,0.0709,NA,NA,NA,NA,NA
totFarmEmp_tot,inclusion,emp_fmr_t + emp_cwg_t,854,-0.1,-55.7234***,NA,NA,NA,0.5798***,NA,NA,NA,41.9918,NA,NA,-0.7446,-0.4367,NA,NA,0.0457
totNonFarmEmp_f,inclusion,emp_rwg_f + emp_slf_f,854,0.3,102.8554***,0.1312,-0.0509,NA,-1.0859***,-0.4643,NA,0.0604,-53.1178,0.2386***,-0.0561,0.8597,0.4803,NA,NA,NA
totNonFarmEmp_tot,inclusion,emp_rwg_t + emp_slf_t,854,-0,70.7814***,0.0903,NA,NA,-0.7595***,-0.3072,NA,NA,-54.8878*,NA,NA,0.812,0.5568*,NA,NA,NA
consumptGr,welfare,logCons_pc_mean_tot(t) - logCons_pc_mean_tot(t-1),1236,-0.4,-0.3054,NA,NA,NA,NA,-0.0209,0.0052,NA,0.631**,-0.0071*,-0.0041*,-0.0368,NA,NA,NA,NA
logCons_pc_mean_tot,welfare,Log of mean hh consumption (total),1661,0.3,-1.04*,-0.0031*,-0.0017**,NA,0.0128**,NA,NA,0.0015,-0.0762,NA,-0.0015,NA,NA,-0.0275*,0.0032,NA
logGdp,welfare,"Log of GDP (current USD, in millions)",854,0.9,0.0828**,NA,-8e-04,NA,NA,NA,NA,-0.001,-0.3942**,-0.0041*,0.0021**,NA,NA,0.0125,0.0058**,NA
logGdpPc,welfare,"Log of GDP per capita (current USD, in millions)",854,0.8,0.5306,NA,NA,NA,-0.0051,NA,NA,-0.0012,-0.4018**,-0.0028,0.0022**,NA,NA,NA,0.0054**,NA
logNtl_a,welfare,Light intensity per area in logs,854,0.7,-0.4288,-0.0068,0.002,NA,NA,0.0351*,0.0059,NA,1.2499,NA,NA,NA,-0.0139,NA,NA,NA
logNtl_pc,welfare,Light intensity per 1000 people in logs,854,0.5,-0.0992,-0.0099*,0.0049**,NA,NA,0.0448**,NA,-0.0044,-0.1953*,NA,NA,NA,NA,0.0367,NA,NA
