atkinsName,dataName,id
Cuddapah,Y.S.R.,
East godavari,East Godavari,
Nellore,Sri Potti Sriramulu Nellore,
West godavari,West Godavari,
Karbi anglong,Karbi Anglong,
North cachar hills,Dima Hasao,
Sibsagar,Sivasagar,
Champaran,,
Shahabad,,
Baster,Bastar,
Bilaspur (madhya pradesh),,3_22_406_0
Raigarh,,3_22_403_0
Banas kantha,Banas Kantha,
Panch mahals,Panch Mahals,
Sabar kantha,Sabar Kantha,
The dangs,The Dangs,
Bilaspur (himachal pradesh),,3_2_30_0
Lahul & spiti,Lahul & Spiti,
Hazaribag,Hazaribagh,
Santhal parganas,,
Singbhum,,
Dakshina kannada,Dakshina Kannada,
Uttara kannada,Uttara Kannada,
East nimar,Khandwa (East Nimar),
West nimar,Khargone (West Nimar),
Aurangabad (maharashtra),,3_27_515_0
Raigarh (maharashtra),,3_27_520_0
Phulbani,Kandhamal,
Sawai madhopur,Sawai Madhopur,
Chengalpattu m.g.r.,,
North arcot,,
South arcot,,
The nilgiris,The Nilgiris,
Tirunelveli-kattabomman,Tirunelveli,
Barabanki,Bara Banki,
Hamirpur (uttar pradesh),,3_9_168_0
Kanpur,Kanpur Nagar,
Rae bareli,Rae Bareli,
Tehri garhwal,Tehri Garhwal,
24 parganas,,
Koch bihar,Koch Bihar,
Medinipur,,
West dinajpur,,